Name,Your answers! [Do you like the taste of beer?],"Your answers! [In a certain light, wouldn't nuclear war be exciting?]",Your answers! [Do you like horror movies?],Your answers! [Have you ever traveled around another country alone?],Your answers! [Should the death penalty be abolished?],Your answers! [Would you like to (or already) have children?],Your answers! [Do spelling and grammar mistakes annoy you?],Your answers! [Do you think Pokemon is for kids?],Your answers! [Would you be open to the inclusion of penetrating sex toys?],Your answers! [Do you believe in God?],Your answers! [Would you date someone shorter than you?],Your answers! [Would you date someone taller than you?],Your answers! [Have you been faithful in all of your past relationships?],Your answers! [Kiss on the first date?],Your answers! [Have you ever been in love?],Your answers! [Do you use Twitter often?],Your answers! [Do you like to dance?],Your answers! [Have you ever had a crush on a teacher?],Your answers! [Do you smoke?],Your answers! [Do you write poetry?],How would you like a partner to reply? [Do you like the taste of beer?],"How would you like a partner to reply? [In a certain light, wouldn't nuclear war be exciting?]",How would you like a partner to reply? [Do you like horror movies?],How would you like a partner to reply? [Have you ever traveled around another country alone?],How would you like a partner to reply? [Should the death penalty be abolished?],How would you like a partner to reply? [Would you like to (or already) have children?],How would you like a partner to reply? [Do spelling and grammar mistakes annoy you?],How would you like a partner to reply? [Do you think Pokemon is for kids?],How would you like a partner to reply? [Would you be open to the inclusion of penetrating sex toys?],How would you like a partner to reply? [Do you believe in God?],How would you like a partner to reply? [Would you date someone shorter than you?],How would you like a partner to reply? [Would you date someone taller than you?],How would you like a partner to reply? [Have you been faithful in all of your past relationships?],How would you like a partner to reply? [Kiss on the first date?],How would you like a partner to reply? [Have you ever been in love?],How would you like a partner to reply? [Do you use Twitter often?],How would you like a partner to reply? [Do you like to dance?],How would you like a partner to reply? [Have you ever had a crush on a teacher?],How would you like a partner to reply? [Do you smoke?],How would you like a partner to reply? [Do you write poetry?],How would you like a partner to reply? [Would you write your child's college entry essay?],Your answers! [Would you write your child's college entry essay?],"Your answers! [On the first date, would you order a steak?]","How would you like a partner to reply? [On the first date, would you order a steak?]",How would you like a partner to reply? [Do you like dogs?],Your answers! [Do you like dogs?],1=agree strongly 6=disagree strongly
Hope,6,6,2,1,1,5,1,2,6,6,1,1,2,2,1,1,6,2,6,6,3,6,4,1,1,4,3,4,6,5,1,1,2,2,1,1,2,1,6,6,,,,,,,
Fathom,5,4,5,4,2,3,2,3,1,4,3,1,1,2,2,4,3,4,4,1,4,4,4,3,2,3,3,3,2,4,2,3,1,3,3,4,3,4,4,2,5,5,3,3,3,2,
Fang,5,2,1,6,1,6,3,5,6,6,6,1,1,1,3,3,6,1,6,1,6,1,1,6,1,6,3,6,6,6,1,1,1,1,3,3,6,1,6,1,6,6,3,3,6,6,
Corey,5,6,4,6,4,6,3,4,6,4,3,2,2,6,2,6,3,2,6,2,5,4,3,4,4,5,3,4,6,3,2,2,2,6,2,4,3,3,5,3,5,6,2,2,3,3,
Meowzers,6,1,1,6,2,2,6,2,5,1,1,1,1,4,1,6,6,6,3,5,6,1,1,6,1,2,6,2,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,
Vitto,6,6,2,5,6,1,2,2,6,5,2,1,2,1,1,5,1,1,1,5,2,6,2,1,6,2,2,2,5,2,2,2,2,2,2,5,2,2,5,2,6,6,1,1,1,1,
Chris,5,6,1,6,4,6,1,6,4,3,2,2,1,2,4,5,5,5,6,2,2,4,1,2,4,4,2,6,3,3,2,2,1,2,4,2,2,2,6,2,3,4,3,3,1,1,
Kae,6,5,2,6,6,6,2,6,3,6,5,5,3,6,5,2,4,2,6,1,6,5,2,2,5,6,2,6,3,6,5,5,3,6,4,2,4,2,6,2,6,6,3,2,1,1,
Asher,5,5,4,3,2,3,3,5,2,5,2,2,3,4,3,2,3,5,6,5,3,3,3,2,6,2,2,6,2,4,3,3,3,4,4,2,2,3,5,2,6,5,3,2,5,4,
Nadia,3,6,1,6,3,1,1,6,3,2,3,1,2,1,1,2,1,1,6,5,2,5,2,3,4,1,2,1,5,3,3,2,1,2,1,4,2,3,5,3,6,6,4,3,1,1,
Arielle,5,3,6,5,4,4,5,6,2,5,1,1,1,6,2,5,5,2,6,3,5,3,2,5,4,6,5,6,2,6,1,1,1,5,2,5,3,2,6,4,6,6,2,2,2,2,
Gabee,6,2,1,3,3,2,2,6,1,4,1,1,1,1,1,6,2,6,6,3,3,2,1,3,3,2,2,5,1,5,3,2,1,2,3,4,2,4,4,3,5,5,5,3,1,1,
sgthootnany (Jay),5,6,1,6,4,2,6,6,1,5,2,1,2,1,1,6,3,6,6,3,2,6,1,1,3,2,6,6,1,4,1,2,1,1,1,6,1,6,6,1,6,6,2,2,1,1,
naomi,3,2,6,1,4,6,2,6,6,2,2,1,1,4,6,6,2,2,6,5,2,2,3,1,5,2,3,6,2,2,2,2,1,1,1,2,2,2,3,3,6,6,6,6,1,3,
Cadence,4,6,3,1,3,5,2,2,1,6,5,1,2,1,1,6,5,1,6,5,2,5,3,2,2,5,2,2,2,5,1,1,3,1,2,4,5,5,6,3,4,5,3,4,2,2,
Chris,4,6,3,1,6,1,1,5,5,5,1,1,1,4,1,2,3,5,6,6,3,5,2,2,5,2,2,5,5,5,1,1,1,3,2,3,2,4,6,2,5,6,6,6,2,2,
Steven,6,5,5,6,6,3,3,5,2,6,2,2,2,4,1,6,3,5,6,3,6,5,5,3,5,3,3,5,2,4,2,2,1,3,2,4,3,3,6,3,5,5,4,4,3,2,
Corbett Cappon,4,4,5,5,4,3,5,5,3,2,2,2,2,5,4,5,4,5,5,4,4,4,5,5,4,3,5,5,3,2,2,2,2,5,4,5,4,5,5,4,5,5,5,5,2,2,
Grace,3,1,1,5,6,1,1,6,2,6,3,1,1,1,1,6,2,1,1,1,2,1,1,2,6,2,1,6,2,6,1,1,1,1,1,6,2,2,1,2,6,6,5,2,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
